year,school_id,cipcode,major_number,total,instnm
2005,190415,26.0702,1,2,Cornell University
2005,190415,26.1101,1,11,Cornell University
2005,190415,26.9999,1,104,Cornell University
2005,190415,27.0101,1,29,Cornell University
2005,190415,30.1501,1,9,Cornell University
2005,190415,30.9999,1,15,Cornell University
2005,190415,38.0101,1,31,Cornell University
2005,190415,38.0201,1,7,Cornell University
2005,190415,40.0201,1,2,Cornell University
2005,190415,40.0401,1,17,Cornell University
2005,190415,40.0501,1,19,Cornell University
2005,190415,40.0601,1,12,Cornell University
2005,190415,40.0801,1,19,Cornell University
2005,190415,42.0101,1,80,Cornell University
2005,190415,44.0201,1,0,Cornell University
2005,190415,44.0501,1,73,Cornell University
2005,190415,45.0201,1,15,Cornell University
2005,190415,45.0301,1,4,Cornell University
2005,190415,45.0601,1,151,Cornell University
2005,190415,45.1001,1,168,Cornell University
2005,190415,45.1101,1,77,Cornell University
2005,190415,45.9999,1,0,Cornell University
2005,190415,50.0301,1,0,Cornell University
2005,190415,50.0501,1,13,Cornell University
